"id";"name";"category";"page";"description";"sizes";"prices";"alcohol";"alcoholfree";"glutenfree";"hint"
"BS031";"Maisel&Friends Urban IPA";"Fassbiere";"Saisonkarte";"Ein All Day IPA, dem Zitrus- und Grapefruitnoten sowie eine angenehme Bittere eine erfrischende Leichtigkeit verleihen – so belebend wie die Energie der City.";"0,3l/0,5l";"3,90/5,90";"5,6";0;0;""
"BS032";"Andechser Hell alkoholfrei";"Fassbiere";"Saisonkarte";"Echt, kernig, feinherb – das Andechser Hell alkoholfrei ist das erste alkoholfreie Helle, das die Klosterbrauerei in ihrer Geschichte auf den Markt bringt. Und wir haben es für euch vom Fass!";"0,3l/0,5l";"3,30/4,90";"<0,5";1;0;"alkoholfrei"
"BS033";"BrewDog Wingman Pale Ale";"Dosenbiere";"Saisonkarte";"Fruchtig, zitronig und leicht. Ein erfrischendes PA mit tropischen Aromen.";"0,44l";"5,90";"4,2";0;0;"Herkunft: UK"
"BS034";"Borussia Brauerei Export Borsigplatz Style";"Dosenbiere";"Saisonkarte";"Frische und Malzigkeit trifft auf fruchtigen Aromen.";"0,33l";"4,00";"5,8";0;0;""
"BS035";"Hawkes Cider Urban Orchard";"Dosenbiere";"Saisonkarte";"Perfekt sprudelnd, mit spritziger Säure und erfrischendem Abgang.";"0,33l";"4,50";"5,0";0;0;"Cider; Herkunft: UK"
"BS036";"Hopcity: Barking Squirrel";"Dosenbiere";"Saisonkarte";"Bernsteinfarbenes Amber Lager mit einem subtilen edlen Hopfenaroma.";"0,473l";"5,90";"5,0";0;0;"Herkunft: CAN"
"BS037";"Moosehead Andrew&Patrick's";"Dosenbiere";"Saisonkarte";"Modernes Session IPA mit fruchtigen Aromen.";"0,473l";"5,90";"4,7";0;0;"Herkunft: CAN"
"BS038";"Moosehead East Coast IPA";"Dosenbiere";"Saisonkarte";"Ein fruchtiges India Pale Ale.";"0,355l";"4,50";"5,9";0;0;"Herkunft: CAN"
"BS039";"Moosehead Limeade";"Dosenbiere";"Saisonkarte";"";"0,355l";"4,50";"4,0";0;0;"Herkunft: CAN; verschiedene Sorten: Raspberry, Blueberry, Watermelon oder Original Limette"
"BS040";"Moosehead Radler";"Dosenbiere";"Saisonkarte";"";"0,473l/0,355l";"5,90/4,50";"4,0";0;0;"Radler; Herkunft: CAN; verschiedene Sorten: Grapefruit (0,473l) oder Melone (0,355l)"
"BS041";"Moosehead Radler Neon";"Dosenbiere";"Saisonkarte";"";"0,355l";"4,50";"4,0";0;0;"Radler; Herkunft: CAN; verschiedene Sorten: Cherry Blast und Framboise Bleue"
"BS042";"Moosehead Dark Lager";"Dosenbiere";"Saisonkarte";"Dunkles Lagerbier, mit einer Mischung aus fruchtigen und malzigen Noten.";"0,473l";"5,90";"4,9";0;0;"Herkunft: CAN"
"BS043";"Moosehead Mistral Hop IPA";"Dosenbiere";"Saisonkarte";"Kräftiges IPA mit einem süßlich-fruchtigen Hopfen-Aroma.";"0,473l";"5,90";"6,0";0;0;"Herkunft: CAN"
"BS044";"Moosehead Helles Bock";"Dosenbiere";"Saisonkarte";"Das helle Bier ist, wie der Name sagt, am deutschen Bock-Bier orientiert.";"0,473l";"5,90";"6,2";0;0;"Herkunft: CAN"
"BS045";"Michelob Ultra";"Dosenbiere";"Saisonkarte";"Ein sehr beliebtes, leichtes und helles Bier aus der Budweiser Brauerei.";"0,355l";"4,50";"4,2";0;0;"Herkunft: USA"
"BS046";"Tecate Cerveza Original";"Dosenbiere";"Saisonkarte";"Ein erfrischendes, authentisch mexikanisches Bier.";"0,355l";"4,50";"4,5";0;0;"Herkunft: MEX"
