"id","name","category","page","description","sizes","prices","alcoholfree","glutenfree","hint"
"BD011","Astra Rotlicht","Flaschenbiere","Seite 27","Intensiv malzig, süffig und mit 6,0 % vol. Alkohol. Ein kräftiges Bier für alle, die es gerne etwas voller mögen.","0,33l","3,70",0,0,""
"BD012","Astra Urtyp","Flaschenbiere","Seite 27","Hamburger Kult in der Flasche – malzig, würzig und mit 4,9 % vol. ein bodenständiges Bier für jede Gelegenheit.","0,33l","3,30",0,0,""
"BD013","Augustiner Edelstoff","Flaschenbiere","Seite 29","Ein Klassiker aus München. Das Helle begeistert mit vollmundigem Geschmack, dezenter Malzsüße und einem Alkoholgehalt von 5,6 % vol. Perfekt für alle, die bayrische Braukunst lieben.","0,5l","4,90",0,0,""
"BD014","Aventinus Eisbock","Flaschenbiere","Seite 24","Das kräftige Weizenstarkbier überzeugt mit Noten von Trockenfrüchten, Banane und dunkler Schokolade. Mit seiner vollmundigen Textur und 12,0 % vol. ist es ein Highlight für Kenner. Perfekt als Begleiter zu Schokoladendesserts.","0,33l","5,50",0,0,""
"BD015","Barbar Bok","Flaschenbiere","Seite 20","Ein dunkles Honigbier mit 8,0 % vol., das mit reichem Malzkörper, Karamellnoten und einem Hauch von Gewürzen überzeugt. Perfekt für kühlere Tage oder einen gemütlichen Abend.","0,33l","4,80",0,0,""
"BD016","Barbar Original","Flaschenbiere","Seite 23","Ein honiggelbes Starkbier mit 8,0 % vol., das durch seinen süßen, würzigen Geschmack und seine feine Honignote besticht. Ein Klassiker für Genießer.","0,33l","4,80",0,0,""
"BD017","Barbar Rouge","Flaschenbiere","Seite 23","Eine fruchtige Version des Barbar: Mit natürlichen Kirschnoten, würzigem Honig und einem süßen, doch ausgewogenen Charakter verführt dieses Bier.","0,33l","4,80",0,0,""
"BD018","Bayreuther Hell","Fassbiere","Seite 12","Ein traditionelles bayerisches Lagerbier mit mildem, malzigem Geschmack und einer dezenten, hopfigen Note. Sein ausgewogener Charakter und die hohe Braukunst machen es zu einem echten Genuss – frisch gezapft und perfekt für jede Gelegenheit.","0,3l/0,5l/1,0l","3,30/4,90/8,50",0,0,"auch als Maß 1,0 l/8,50"
"BD019","Beck’s","Flaschenbiere","Seite 27","Der internationale Klassiker aus Bremen – frisch, mild und mit angenehmer Hopfenbittere. Mit 4,9 % vol. ein Premium-Pilsener, das weltweit geschätzt wird.","0,33l","3,30",0,0,""
"BD020","Becks Blue","Flaschenbiere","Seite 36","Alkoholfrei und dennoch voll im Geschmack. Dieses Pils besticht durch seine Leichtigkeit und eine feine Hopfenbittere.","0,33l","3,30",1,0,""
"BD021","Beck’s Ice","Flaschenbiere","Seite 26","Klar, erfrischend und mit einer feinen Limettennote. Das leichte Biermischgetränk mit 2,5 % vol. ist ein moderner Klassiker für unvergessliche Abende.","0,33l","3,30",0,0,""
"BD022","Belhaven Scottish Stout","Flaschenbiere","Seite 31","Ein cremiges Stout mit feinen Schokoladen- und Kaffeearomen, abgerundet durch eine leichte Rauchnote. Mit 7,0 % vol. ein typisch schottischer Genuss für Liebhaber dunkler Biere.","0,5l","5,90",0,0,""
"BD023","Bergmann Alkoholfrei","Flaschenbiere","Seite 37","Das Dortmunder Original – alkoholfrei und voll im Geschmack. Ein herbes, traditionelles Bier ohne Kompromisse.","0,33l","3,70",1,0,""
"BD024","Bergmann Export","Flaschenbiere","Seite 25","Ein Dortmunder Exportbier mit 5,2 % vol. Alkohol. Malzig, leicht süßlich und angenehm würzig – eine Hommage an die Bergbau-Tradition der Region, ideal zu rustikalen Gerichten.","0,33l","3,70",0,0,""
"BD025","Berliner Weisse Himbeer","Flaschenbiere","Seite 26","Fruchtig-süß und herrlich erfrischend. Die rote Variante der Berliner Weisse begeistert mit Himbeernoten und einem Hauch Säure. Ein leichtes Vergnügen mit 3,0 % vol. Alkohol.","0,33l","3,70",0,0,""
"BD026","Berliner Weisse Waldmeister","Flaschenbiere","Seite 26","Die grüne Versuchung – spritzig, leicht, und mit unverwechselbarem Waldmeistergeschmack. Mit nur 3,0 % vol. ein erfrischendes Sommergetränk, das Berliner Tradition modern interpretiert.","0,33l","3,70",0,0,""
"BD027","Birra Moretti","Flaschenbiere","Seite 32","Dieses italienische Lagerbier besticht durch seinen vollmundigen Geschmack und eine angenehme Malzsüße. Mit 4,6 % vol. ein echter Klassiker der italienischen Bierkultur.","0,33l","3,70",0,0,""
"BD028","Bitburger 0,0","Fassbiere","Seite 18","Bitburger 0,0 ist ein erfrischendes alkoholfreies Bier, das mit dem klassischen Bitburger Geschmack überzeugt. Durch sorgfältige Braukunst und die Entfernung des Alkohols bleibt der vollmundige, hopfige Charakter erhalten – ideal für alle, die auf Alkohol verzichten möchten, aber nicht auf Genuss!","0,25l/0,4l","2,70/3,80",1,0,""
"BD029","Bitburger 0,0 Radler","Flaschenbiere","Seite 36","Das Radler mit seinem mild-herben Geschmack und einer feinen Malznote überzeugt. Perfekt gekühlt ein idealer Begleiter für jede Gelegenheit – ob nach dem Sport oder an heißen Tagen.","0,33l","3,30",1,0,""
"BD030","Bitburger 0,0 Radler Grapefruit","Flaschenbiere","Seite 36","Erfrischend-fruchtiges Radler mit 0,0 % vol., das herbes Bitburger Bier mit spritziger Grapefruit-Limonade vereint. Perfekt für heiße Tage und aktiven Genuss.","0,33l","3,30",1,0,""
"BD031","Black Sheep","Flaschenbiere","Seite 32","Black Shell von der Föroya Bryggjarí ist ein kräftiges, tiefschwarzes Stout, das mit intensiven Noten von geröstetem Malz, Kaffee und dunkler Schokolade begeistert.","0,33l","4,80",0,0,""
"BD032","Bloody Bastard Red Ale","Fassbiere","Seite 17","Bloody Bastard Red Ale ist ein kräftiges, rotes Ale mit einer komplexen Malznote und einem Hauch von Karamell und Röstung. Die ausgewogene Bitterkeit sorgt für einen spannungsgeladenen, aber weichen Abgang, der dieses Bier zu einem besonderen Erlebnis für Ale-Liebhaber macht.","0,3l/0,5l","3,90/5,90",0,0,""
"BD033","Bolten Alt","Flaschenbiere","Seite 25","Das älteste Altbier der Welt aus Korschenbroich. Mit 4,9 % vol. Alkohol, harmonisch malzig und mit sanften Röstaromen. Ein Bier, das den Charme des Niederrheins in jedem Schluck spürbar macht.","0,33l","3,30",0,0,""
"BD034","BRLO Rosinenbomber","Flaschenbiere","Seite 24","Ein innovatives Craft Beer mit 10,0 % vol. und einer einzigartigen Rosinennote. Dunkel und aromatisch, perfekt für kalte Abende und als Begleitung zu würzigem Käse oder Schokoladenkuchen.","0,33l","5,50",0,0,""
"BD035","BrewDog Punk AF","Fassbiere","Seite 18","Voller Geschmack eines klassischen IPAs – fast ohne Alkohol. Mit kräftigen Hopfenaromen von tropischen Früchten und Zitrusnoten überzeugt es mit einer angenehmen Bitterkeit und einer erfrischenden Leichtigkeit.","0,25l/0,5l","3,90/6,00",1,0,""
"BD036","BrewDog Hazy Jane","Fassbiere","Seite 16","BrewDog Hazy Jane ist ein NEIPA mit einer dichten, trüben Textur und fruchtigen Aromen von Mango und Zitrusfrüchten. Vollmundig und mit einem Hauch von Süße, bietet dieses Bier eine sanfte, aber dennoch kräftige Bitterkeit, die es zu einem erfrischenden Genuss macht.","0,25l/0,5l","3,90/6,00",0,0,""
"BD037","BrewDog Punk IPA","Fassbiere","Seite 16","BrewDog Punk IPA ist ein freches Craft Beer mit intensiven Hopfennoten. Frisch, spritzig und aromatisch – die Kombination aus tropischen Früchten und einer feinen Bitterkeit sorgt für ein einzigartiges Geschmackserlebnis. Ein Muss für IPA-Fans und Entdecker neuer Biere!","0,25l/0,5l","3,90/6,00",0,0,""
"BD038","Brooklyn Stonewall Inn IPA","Fassbiere","Seite 17","Ein erfrischendes, hopfenbetontes India Pale Ale mit fruchtigen Zitrus- und Tropenfruchtaromen. Sein ausgewogenes Geschmacksprofil vereint eine angenehme Bitterkeit mit einer leichten Malzsüße und sorgt für einen harmonischen, lebendigen Trinkgenuss. Inspiriert von der Vielfalt und Freiheit New Yorks.","0,25l/0,5l","3,90/6,00",0,0,""
"BD039","Budweiser Budvar","Fassbiere","Seite 12","Budweiser Budvar ist ein tschechisches Premium-Lager mit vollmundigem Malzaroma und einer feinen, ausgewogenen Hopfenbittere. Es wird aus hochwertigem Saazer Hopfen und mährischem Malz gebraut, was ihm seinen charakteristischen Geschmack verleiht.","0,3l/0,5l","3,80/5,50",0,0,""
"BD040","Bundaberg","Flaschenbiere","Seite 36","Eine alkoholfreie Bierspezialität aus Australien mit süßlich-frischen Ingweraromen. Ideal für alle, die einen besonderen, würzigen Geschmack suchen.","0,33l","4,00",1,0,""
"BD041","Carlsberg","Flaschenbiere","Seite 32","Der dänische Klassiker mit 5,0 % vol. begeistert durch seinen frischen, ausgewogenen Geschmack. Perfekt für gesellige Momente mit Freunden.","0,33l","4,00",0,0,""
"BD042","Carlsberg 0,0","Flaschenbiere","Seite 37","Ein erfrischendes, alkoholfreies Lagerbier mit klarem Geschmack und feiner Hopfenbittere. Perfekt für jede Gelegenheit.","0,33l","4,30",1,0,""
"BD043","Cerdos Voladores Brown Ale","Dosenbiere","Seite 35","Malzig und aromatisch, mit Karamell- und Nussnoten. Dieses Brown Ale überzeugt durch einen vollmundigen Geschmack.","0,33l","4,50",0,0,""
"BD044","Cerdos Voladores IPA sin Alcohol","Flaschenbiere","Seite 36","Voll im Geschmack trotz fast null Prozent Alkohol – mit fruchtigen Hopfennoten und einer angenehmen Bitterkeit, die den Durst nach einem IPA stillt.","0,33l","4,50",1,0,""
"BD045","Cerdos Voladores Pale Ale (glutenfrei)","Dosenbiere","Seite 35","Frisch und fruchtig, mit tropischen Aromen und einer ausgewogenen Bitterkeit – ideal für den Start in den Abend oder als Snackbegleiter.","0,33l","4,50",0,1,""
"BD046","Cerdos Voladores Session IPA","Dosenbiere","Seite 35","Tropische Aromen und eine feine Bitterkeit zeichnen dieses erfrischende Session IPA aus. Perfekt für längere Trinkgenüsse bei jeder Gelegenheit.","0,33l","4,50",0,0,""
"BD047","Chimay Blonde Dorée","Flaschenbiere","Seite 20","Ein helles Klosterbier mit 4,8 % vol., das mit seiner Leichtigkeit, floralen Noten und mildem Malzcharakter überrascht. Perfekt für einen entspannten Einstieg in die Welt der Trappistenbiere.","0,33l","4,80",0,0,""
"BD048","Chimay Brune","Flaschenbiere","Seite 20","Dieses kräftige Dubbel mit 7,0 % vol. begeistert mit Aromen von Trockenfrüchten, Gewürzen und leichtem Röstmalz. Ein echter Klassiker für Genießer.","0,33l","4,80",0,0,""
"BD049","Chimay Cent Cinquante","Flaschenbiere","Seite 10","Chimay Cent Cinquante ist ein edles belgisches Trappistenbier, das zu Ehren des 150-jährigen Jubiläums der Chimay-Brauerei gebraut wurde. Mit einem reichen, malzigen Geschmack und feinen Noten von Trockenfrüchten und Karamell bietet es ein einzigartiges Trinkerlebnis. Ideal für Bierliebhaber.","0,75l","11,90",0,0,""
"BD050","Chimay Grande Reserve","Flaschenbiere","Seite 10","Chimay Grande Reserve ist ein belgisches Trappistenbier mit kräftigem, malzigem Geschmack und einer feinen, fruchtigen Note. Es wird in einem einzigartigen, dunkelbraunen Flaschenglas abgefüllt und reift mit der Zeit, was ihm zusätzliche Komplexität verleiht. Ideal für Kenner.","0,75l","10,90",0,0,""
"BD051","Chimay Tripel","Flaschenbiere","Seite 20","Das goldene Chimay mit 8,0 % vol. verführt mit reifen Fruchtnoten, subtiler Bitterkeit und würzigem Charakter. Es vereint belgische Brautradition und Eleganz in jedem Schluck.","0,33l","4,80",0,0,""
"BD052","Coopers Original Pale Ale","Flaschenbiere","Seite 33","Fruchtig-herb und angenehm bitter, mit einer natürlichen Trübung – ein australischer Klassiker, frisch, ausgewogen und charaktervoll.","0,33l","4,80",0,0,""
"BD053","Coopers Sparkling Ale","Flaschenbiere","Seite 33","Vollmundig und lebendig, mit feiner Kohlensäure und sanfter Malznote – ein prickelnder Genuss, traditionell gebraut und unverwechselbar.","0,33l","4,80",0,0,""
"BD054","Coopers Extra Stout","Flaschenbiere","Seite 33","Kräftig und intensiv, mit Röstaromen von Kaffee und Schokolade – ein dunkler Genussmoment, wärmend, markant und ausdrucksstark.","0,33l","4,80",0,0,""
"BD055","Cop Beer","Flaschenbiere","Seite 34","Ein amerikanisches Lagerbier, das in einer Papiertüte verpackt verkauft wird, um es vor den Cops zu verstecken. Daher variiert es auch in Größe und Volumen.","variiert l","4,30",0,0,"in einer Papiertüte verpackt"
"BD056","Corona","Flaschenbiere","Seite 26","Der Strandklassiker schlechthin – leicht, erfrischend und perfekt mit einer Limette im Flaschenhals. Mit 4,5 % vol. das ultimative Sommerbier.","0,33l","4,50",0,0,""
"BD057","Delirium Argentum","Flaschenbiere","Seite 21","Ein bernsteinfarbenes Bier mit 7,0 % vol., das durch seinen Hopfencharakter, Zitrusnoten und eine dezente Würze besticht. Ein modern inspiriertes Bier mit belgischem Charme.","0,33l","4,80",0,0,""
"BD058","Delirium Deliria","Flaschenbiere","Seite 10","Delirium Deliria ist ein belgisches Spezialbier, das zu Ehren des Internationalen Frauentages von Frauen gebraut wurde. Mit einem fruchtigen, blumigen Aroma und einer feinen Bitterkeit bietet es ein ausgewogenes Geschmackserlebnis.","0,75l","11,90",0,0,""
"BD059","Delirium Delirio","Flaschenbiere","Seite 36","Alkoholfreies Bier aus Belgien mit kräftigem, leicht würzigem Geschmack. Auch ohne Alkohol begeistert es.","0,33l","5,50",1,0,""
"BD060","Delirium Nocturnum","Flaschenbiere","Seite 21","Ein dunkles, vollmundiges Bier mit 8,5 % vol., das Aromen von Schokolade, Gewürzen und dunklen Früchten bietet. Die Nacht gehört Delirium!","0,33l","4,80",0,0,""
"BD061","Delirium Red","Fassbiere","Seite 15","Ein fruchtiges belgisches Bier mit einem intensiven Geschmack von Kirschen und Beeren. Die süße Fruchtigkeit wird von einer dezenten Malzbasis und einer feinen Säure begleitet.","0,33l","4,80",0,0,"nur im Sommer vom Fass"
"BD062","Delirium Tremens","Fassbiere","Seite 15","Delirium Tremens ist ein ikonisches belgisches Bier mit kräftigem Charakter und komplexen Aromen. Fruchtige Noten von Apfel und Banane treffen auf eine würzige Wärme, begleitet von einem Hauch Alkohol.","0,33l","4,80",0,0,""
"BD063","Desperados","Flaschenbiere","Seite 26","Bier mit einem Kick – die Kombination aus Tequila-Aromen und 5,9 % vol. sorgt für eine würzige Frische, die jede Party belebt.","0,33l","4,50",0,0,""
"BD064","Duckstein Weizen","Flaschenbiere","Seite 27","Weizenbier neu interpretiert – fruchtig, spritzig und mit einer dezenten Karamellnote. Mit 5,3 % vol. ein Highlight für Liebhaber.","0,5l","4,90",0,0,""
"BD065","Duvel","Flaschenbiere","Seite 20","Ein ikonisches belgisches Starkbier mit leuchtender, goldener Farbe und feiner Schaumkrone. Fruchtige Noten, dezente Bitterkeit und ein überraschend trockener Abgang machen es zu einem Meisterwerk mit 8,5 % vol. Perfekt für besondere Momente.","0,33l","4,80",0,0,""
"BD066","Duvel 666","Flaschenbiere","Seite 20","Eine mildere Variante des Klassikers: Mit 6,66 % vol. bietet dieses Bier eine fruchtigere Note, dezente Hopfenbitterkeit und ein leichtes, erfrischendes Finish. Ideal für den Einstieg in die Welt der belgischen Biere.","0,33l","4,80",0,0,""
"BD067","Engel Keller Dunkel","Flaschenbiere","Seite 29","Ein dunkelmalziges Kellerbier, das durch feine Röstaromen und eine leichte Karamellnote besticht. Mit 5,2 % vol. ein vollmundiger Genuss, der Tradition schmeckbar macht.","0,5l","4,90",0,0,""
"BD068","Engel Keller Hell","Flaschenbiere","Seite 29","Ein fränkisches Helles, naturbelassen und unfiltriert. Mit milden Malznoten und einer angenehmen Süße überzeugt dieses Bier mit 5,3 % vol. durch seinen ursprünglichen, süffigen Charakter.","0,5l","4,90",0,0,""
"BD069","Engel Kellerbier Hell Alkoholfrei","Flaschenbiere","Seite 36","Ein naturtrübes, alkoholfreies Kellerbier mit malzigem Körper und sanfter Hopfennote. Traditioneller Geschmack – ohne Alkohol.","0,33l","3,30",1,0,""
"BD070","Estrella Damm","Flaschenbiere","Seite 32","Das traditionsreiche Bier aus Barcelona mit 5,4 % vol. verbindet mediterrane Leichtigkeit mit einer dezenten Hopfenbittere. Ein Genuss für heiße Sommertage.","0,33l","4,00",0,0,""
"BD071","Estrella Daura Damm (glutenfrei)","Flaschenbiere","Seite 32","Dank seiner erfrischenden Note und dem ausgewogenen Aroma ist dieses Lagerbier der ideale Begleiter zu mediterranen Speisen.","0,33l","4,00",0,1,""
"BD072","Estrella Inedit","Flaschenbiere","Seite 10","Das exquisite Bier vom Erfinder der Molekularküche Ferran Adrià. Frisch, fruchtig und leicht würzig mit feiner Cremigkeit. Perfekt für Gourmetgerichte – ein einzigartiges Geschmackserlebnis!","0,75l","10,90",0,0,""
"BD073","finkenbeer","Flaschenbiere","Seite 7","Stoß auf dich selber an, du hast es dir verdient. Oder verschenk deine Geburtstagsgrüße in flüssiger Form. Ein herbes Export, nur für den finkenkrug gebraut!","0,5l","4,90",0,0,"it´s your bierthday"
"BD074","Filou Belgian Tripel","Fassbiere","Seite 15","Filou Belgian Tripel ist ein kräftiges belgisches Bier mit einem vollmundigen, leicht fruchtigen Charakter. Seine subtilen Gewürznoten und die angenehme Hopfenbittere verleihen ihm eine ausgewogene Eleganz.","0,25l","4,00",0,0,""
"BD075","Flensburger Alkoholfrei","Flaschenbiere","Seite 36","Das norddeutsche Original – alkoholfrei und mit typischer Frische. Ein vollmundiges Pils, ideal für aktive Genießer.","0,33l","3,30",1,0,""
"BD076","Flensburger Pils","Flaschenbiere","Seite 27","Das Bier mit dem berühmten „Plopp“. Frisch, nordisch-herb und mit 4,8 % vol. ein echtes Original aus dem hohen Norden.","0,33l","3,30",0,0,""
"BD077","Föroya Pilsnar","Flaschenbiere","Seite 32","Das Lagerbier von den Färöer Inseln mit 4,6 % vol. ist frisch und leicht, mit einer dezenten Malzigkeit. Ein Geheimtipp für nordische Bierliebhaber.","0,33l","4,80",0,0,""
"BD078","Früh Kölsch","Flaschenbiere","Seite 27","Kölsch in Reinkultur – leicht, spritzig und mit 4,8 % vol. ideal für gesellige Abende. Eine kölsche Tradition, die schmeckt.","0,33l","3,30",0,0,""
"BD079","Fuller’s Honey Dew","Flaschenbiere","Seite 31","Dieses Bio-Ale begeistert mit einer dezenten Honignote und frischem Geschmack. Mit 5,0 % vol. ein leichtes, angenehm süßliches Bier, perfekt für warme Tage.","0,5l","5,90",0,0,""
"BD080","Fuller’s IPA","Flaschenbiere","Seite 31","Ein hopfenbetontes India Pale Ale mit Zitrus- und Kräuternoten. Mit 5,3 % vol. Alkohol ein modernes Bier, das den intensiven Geschmack britischer IPAs bietet.","0,5l","5,90",0,0,""
"BD081","Fuller’s London Porter","Flaschenbiere","Seite 31","Ein Klassiker mit tiefen Schokoladen- und Kaffeearomen, kombiniert mit einer leichten Rauchigkeit. Mit 5,4 % vol. ein elegantes Porter, das Tradition aufleben lässt.","0,5l","5,90",0,0,""
"BD082","Fuller’s London Pride","Flaschenbiere","Seite 31","Ein harmonisches Ale mit ausgewogener Malz- und Hopfenbalance. Mit 4,7 % vol. ein vielseitiger Klassiker, der typisch britische Brautradition verkörpert.","0,5l","5,90",0,0,""
"BD083","Gösser Naturradler","Fassbiere","Seite 15","Gösser Naturradler ist eine erfrischende Mischung aus Gösser Bier und natürlichem Zitronensaft. Mit seinem fruchtig-spritzigen Geschmack und der perfekten Balance zwischen Süße und Säure ist es der ideale Durstlöscher – natürlich, leicht und herrlich erfrischend!","0,3l/0,5l","3,30/4,90",0,0,""
"BD084","Green Island Stout","Flaschenbiere","Seite 32","Dieses Bier von der Föroya Bryggjarí auf den Färöer Inseln ist ein tiefdunkles, vollmundiges Stout mit Röstaromen von Kaffee und dunkler Schokolade. Inspiriert von der rauen Schönheit des Nordatlantiks.","0,33l","4,80",0,0,""
"BD085","Grimbergen Dubbel","Fassbiere","Seite 15","Ein dunkles belgisches Abteibier mit weichem Malzkörper, Noten von Karamell und Trockenfrüchten sowie einer dezenten Röstung. Sein harmonischer, leicht süßlicher Abgang macht es zu einem vollmundigen Geschmackserlebnis.","0,25l","3,80",0,0,""
"BD086","Guinness 0,0","Flaschenbiere","Seite 37","Eine alkoholfreie Bierspezialität aus Irland mit dem typischen, malzig-röstigen Guinness-Geschmack. Ideal für alle, die vollmundigen Genuss ohne Alkohol erleben möchten.","0,44l","5,90",1,0,""
"BD087","Guinness Stout","Fassbiere","Seite 16","Guinness Stout ist ein legendäres irisches Bier mit tiefen Röstnoten und einer samtigen Textur. Der Geschmack von geröstetem Malz, Schokolade und Kaffee harmoniert perfekt mit seiner cremigen, feinperligen Schaumkrone – ein Klassiker für Liebhaber dunkler Biere.","0,3l/0,5l","3,90/5,90",0,0,""
"BD088","Gurkenradler","Flaschenbiere","Seite 23","Eine erfrischende Mischung aus Bier und Gurke. Spritzig, leicht und mit einer angenehmen Würze – der perfekte Durstlöscher an heißen Tagen!","0,33l","3,70",0,0,"+ 1 Spreewaldgurke 2,50"
"BD089","Haake Beck Kräusen","Fassbiere","Seite 13","Haake Beck Kräusen ist ein norddeutsches Kellerbier mit mildem, malzigem Geschmack und einer leichten, feinperligen Trübung. Es wird naturbelassen und unfiltriert abgefüllt, was ihm seinen frischen, ursprünglichen Charakter verleiht.","0,3l/0,5l","3,30/4,90",0,0,""
"BD090","Heineken 0,0","Flaschenbiere","Seite 36","Klassisches Heineken, alkoholfrei und mit unverkennbarem Geschmack. Leicht, erfrischend und mit einer feinen Malznote – perfekt für jede Gelegenheit.","0,33l","3,30",1,0,""
"BD091","Heineken Extra Cold","Fassbiere","Seite 18","Der spezielle Trinkgenuss bei 0º C. Je kühler das Bier, umso sanfter ist es im Genuss. Gezapft im vorgekühlten Heineken-Glas. Das Heineken-Extra-Cold-Modell produziert an der Zapfsäule in nur einer Stunde Eis.","0,3l/0,5l","3,80/5,50",0,0,""
"BD092","Hövels Original","Flaschenbiere","Seite 25","Ein feines Rotbier aus Dortmund, das mit malzig-fruchtigen Aromen und einer dezenten Hopfenbittere überzeugt. Mit 5,5 % vol. Alkohol ein idealer Begleiter für deftige Speisen oder gemütliche Abende.","0,5l","4,90",0,0,""
"BD093","Hopacabana","Fassbiere","Seite 18","Die kleine Brauerei aus Dortmund versorgt uns regelmäßig mit ihren neuen Kreationen, die immer einzigartig sind. Von Double IPA bis Hazy Pale Ale ist alles dabei. Welche Sorte momentan da ist könnt ihr bei eurer Servicekraft erfragen!","0,25l/0,5l","4,20/6,90",0,0,"alc. variiert"
"BD094","Hop House 13 Lager","Fassbiere","Seite 17","Hop House 13 Lager ist ein erfrischendes, vollmundiges Lagerbier mit einer ausgewogenen Balance aus süßem Malz und kräftigem Hopfen. Mit einer feinen Blume und einer angenehmen Bitterkeit eignet sich dieses Bier ideal für einen geselligen Abend oder als Durstlöscher.","0,3l/0,5l","3,90/5,90",0,0,""
"BD095","Innis & Gunn Caribbean Rum Cask","Flaschenbiere","Seite 31","Dieses Ale überzeugt mit Noten von Karamell, Rum und tropischen Früchten. Mit 6,8 % vol. ein exotischer Genuss für Liebhaber besonderer Fassreifungen.","0,33l","4,80",0,0,""
"BD096","Innis & Gunn Lager","Flaschenbiere","Seite 31","Ein leichtes, frisches Lager mit feiner Hopfenblume und 4,6 % vol. Alkohol. Perfekt für alle, die einen modernen, unkomplizierten Biergenuss suchen.","0,33l","4,80",0,0,""
"BD097","Innis & Gunn Original","Flaschenbiere","Seite 31","Ein fassgereiftes Ale mit Vanille- und Toffeenoten, veredelt durch Eichenholz. Mit 6,6 % vol. ein außergewöhnliches Bier, das durch seinen milden Charakter besticht.","0,33l","4,80",0,0,""
"BD098","Jever","Flaschenbiere","Seite 27","Friesisch herb – ein Pilsener mit kräftigem Hopfengeschmack und 4,9 % vol. Alkohol. Perfekt für Liebhaber eines intensiven, bitteren Genusses.","0,33l","3,30",0,0,""
"BD099","Karlovacko","Flaschenbiere","Seite 32","Kroatiens beliebtes Lagerbier mit 5,4 % vol. überzeugt durch seinen erfrischenden, leicht herben Charakter. Ein echter Genuss aus dem Herzen der Adria-Region.","0,33l","4,00",0,0,""
"BD100","Kasteel Barista Chocolate","Flaschenbiere","Seite 23","Ein Bier wie ein Dessert: Mit Aromen von Schokolade, Kaffee und Karamell ist dieses Dunkelbier ein echtes Geschmackserlebnis. Ideal für den besonderen Moment!","0,33l","5,50",0,0,""
"BD101","Kasteel Cuvée du Château","Flaschenbiere","Seite 24","Dunkel, intensiv, komplex. Dieses belgische Starkbier mit 11,0 % vol. vereint Noten von Karamell, Vanille und dezenten Röstaromen. Ein Genuss, der perfekt zu gereiftem Käse oder Schmorgerichten passt.","0,33l","5,50",0,0,""
"BD102","Kasteel Donker","Flaschenbiere","Seite 20","Ein tiefbraunes, fast schwarzes Bier mit 11 % vol., das durch Noten von Schokolade, Karamell und dunklen Früchten beeindruckt. Ein kraftvolles Dessertbier mit luxuriösem Abgang.","0,33l","5,50",0,0,""
